Dijkstra 300 3427900ns;;;;;;Dijkstra 300 3342200ns
Dijkstra 300 3280900ns;;;;;;Dijkstra 300 3188200ns
Dijkstra 300 3342200ns;;;;;;Dijkstra 300 3225200ns
Dijkstra 300 3188200ns;;;;;;Dijkstra 350 4925300ns
Dijkstra 300 3225200ns;;;;;;Dijkstra 350 3813900ns
Dijkstra 350 4925300ns;;;;;;Dijkstra 350 3922600ns
Dijkstra 350 3813900ns;;;;;;Dijkstra 350 4029800ns
Dijkstra 350 3922600ns;;;;;;Dijkstra 350 3788300ns
Dijkstra 350 4029800ns;;;;;;Dijkstra 350 3778200ns
Dijkstra 350 3788300ns;;;;;;Dijkstra 350 4988400ns
Dijkstra 350 3778200ns;;;;;;Dijkstra 350 3772400ns
Dijkstra 350 4988400ns;;;;;;Dijkstra 350 3748100ns
Dijkstra 350 3772400ns;;;;;;Dijkstra 350 3910800ns
Dijkstra 350 3748100ns;;;;;;Dijkstra 400 4766800ns
Dijkstra 350 3910800ns;;;;;;Dijkstra 400 4828400ns
Dijkstra 350 5109500ns;;;;;;Dijkstra 400 4319500ns
Dijkstra 400 4766800ns;;;;;;Dijkstra 400 4665000ns
Dijkstra 400 4828400ns;;;;;;Dijkstra 400 4806800ns
Dijkstra 400 4319500ns;;;;;;Dijkstra 400 4442100ns
Dijkstra 400 4665000ns;;;;;;Dijkstra 400 4563900ns
Dijkstra 400 4806800ns;;;;;;Dijkstra 400 4594400ns
Dijkstra 400 4442100ns;;;;;;Dijkstra 400 4509800ns
Dijkstra 400 4563900ns;;;;;;Dijkstra 400 4454000ns
Dijkstra 400 4594400ns;;;;;;Dijkstra 450 5735500ns
Dijkstra 400 4509800ns;;;;;;Dijkstra 450 5012900ns
Dijkstra 400 4454000ns;;;;;;Dijkstra 450 5863700ns
Dijkstra 450 5735500ns;;;;;;Dijkstra 450 5083800ns
Dijkstra 450 5012900ns;;;;;;Dijkstra 450 5341500ns
Dijkstra 450 5863700ns;;;;;;Dijkstra 450 4957800ns
Dijkstra 450 5083800ns;;;;;;Dijkstra 450 5009900ns
Dijkstra 450 5341500ns;;;;;;Dijkstra 450 5170100ns
Dijkstra 450 4957800ns;;;;;;Dijkstra 450 6296400ns
Dijkstra 450 5009900ns;;;;;;Dijkstra 450 5587800ns
Dijkstra 450 5170100ns;;;;;;Dijkstra 500 14765600ns
Dijkstra 450 6296400ns;;;;;;Dijkstra 500 5779900ns
Dijkstra 450 5587800ns;;;;;;Dijkstra 500 5615500ns
Dijkstra 500 14765600ns;;;;;;Dijkstra 500 5687800ns
Dijkstra 500 5779900ns;;;;;;Dijkstra 500 5586400ns
Dijkstra 500 5615500ns;;;;;;Dijkstra 500 7077600ns
Dijkstra 500 5687800ns;;;;;;Dijkstra 500 5670700ns
Dijkstra 500 5586400ns;;;;;;Dijkstra 500 5567200ns
Dijkstra 500 7077600ns;;;;;;Dijkstra 500 5736900ns
Dijkstra 500 5670700ns;;;;;;Dijkstra 500 5922400ns
Dijkstra 500 5567200ns;;;;;;Dijkstra 550 16017600ns
