Kruskal 675  2986 5437444900 ns 70 % 
Kruskal 675  2026 6164668900 ns 20 % 
Kruskal 675  2022 5966055700 ns 20 % 
Kruskal 675  1078 5187168500 ns 10 % 
Kruskal 675  3078 5548264400 ns 90 % 
Kruskal 700  1163 6118047000 ns 10 % 
Kruskal 700  2795 5494346200 ns 40 % 
Kruskal 700  3187 5666949600 ns 90 % 
Kruskal 700  2099 5549651600 ns 20 % 
Kruskal 700  1151 5885584600 ns 10 % 
Kruskal 700  2795 5483547400 ns 40 % 
Kruskal 700  2567 6483887300 ns 30 % 
Kruskal 700  2935 5234579000 ns 50 % 
Kruskal 700  3095 5847937300 ns 70 % 
